Date,Price,Change %
7/6/2022,93.31,-0.05%
7/5/2022,93.36,-0.04%
7/4/2022,93.4,-0.05%
6/30/2022,93.45,0.05%
6/29/2022,93.4,0.10%
6/28/2022,93.31,0.64%
6/27/2022,92.72,0.10%
6/23/2022,92.63,-0.25%
6/22/2022,92.86,0.15%
6/21/2022,92.72,-0.19%
6/20/2022,92.9,0.10%
6/17/2022,92.81,-0.10%
6/16/2022,92.9,0.10%
6/15/2022,92.81,-0.92%
6/14/2022,93.67,-0.10%
6/13/2022,93.76,1.02%
6/9/2022,92.81,-0.10%
6/8/2022,92.9,1.03%
6/7/2022,91.95,0.79%
6/6/2022,91.23,2.71%
6/3/2022,88.82,-0.10%
6/2/2022,88.91,0.00%
6/1/2022,88.91,0.00%
5/31/2022,88.91,-0.10%
5/30/2022,89,1.56%
5/27/2022,87.63,-0.10%
5/26/2022,87.72,-0.10%
5/25/2022,87.81,0.10%
5/24/2022,87.72,0.00%
5/23/2022,87.72,0.67%
5/20/2022,87.14,-0.21%
5/19/2022,87.32,-0.10%
5/18/2022,87.41,0.00%
5/17/2022,87.41,0.00%
5/16/2022,87.41,0.92%
5/13/2022,86.61,-0.10%
5/12/2022,86.7,0.10%
5/11/2022,86.61,-0.10%
5/10/2022,86.7,0.21%
5/9/2022,86.52,0.39%
5/6/2022,86.18,-0.21%
5/5/2022,86.36,0.10%
5/4/2022,86.27,0.10%
5/3/2022,86.18,-0.10%
5/2/2022,86.27,-0.10%
4/29/2022,86.36,0.00%
4/28/2022,86.36,0.00%
4/27/2022,86.36,0.00%
4/26/2022,86.36,0.29%
4/25/2022,86.11,0.10%
4/22/2022,86.02,-0.21%
4/21/2022,86.2,0.00%
4/20/2022,86.2,0.10%
4/19/2022,86.11,0.09%
4/18/2022,86.03,0.10%
4/14/2022,85.94,-0.20%
4/13/2022,86.11,0.21%
4/12/2022,85.93,-0.01%
4/11/2022,85.94,-0.09%
4/8/2022,86.02,-0.10%
4/7/2022,86.11,0.12%
4/6/2022,86.01,-0.10%
4/5/2022,86.1,0.08%
4/4/2022,86.03,-0.09%
4/1/2022,86.11,-0.10%
3/31/2022,86.2,0.00%
3/30/2022,86.2,0.00%
3/29/2022,86.2,0.10%
3/28/2022,86.11,0.10%
3/25/2022,86.02,-0.10%
3/24/2022,86.11,-0.09%
3/23/2022,86.19,-0.01%
3/22/2022,86.2,0.23%
3/21/2022,86,0.10%
3/17/2022,85.91,-0.10%
3/16/2022,86,0.16%
3/15/2022,85.86,-0.06%
3/14/2022,85.91,0.10%
3/11/2022,85.82,-0.10%
3/10/2022,85.91,0.00%
3/9/2022,85.91,0.06%
3/8/2022,85.86,-0.10%
3/7/2022,85.95,0.24%
3/4/2022,85.74,-0.20%
3/3/2022,85.91,0.15%
3/2/2022,85.78,0.09%
3/1/2022,85.7,-0.08%
2/28/2022,85.77,-0.21%
2/24/2022,85.95,0.10%
2/23/2022,85.86,0.09%
2/22/2022,85.78,0.01%
2/18/2022,85.77,-0.10%
2/17/2022,85.86,0.00%
2/16/2022,85.86,0.12%
2/15/2022,85.76,-0.05%
2/14/2022,85.8,0.03%
2/11/2022,85.77,-0.21%
2/10/2022,85.95,0.10%
2/9/2022,85.86,0.07%
2/8/2022,85.8,0.01%
2/7/2022,85.79,0.11%
2/4/2022,85.7,-0.10%
2/3/2022,85.79,-0.01%
2/2/2022,85.8,-0.17%
2/1/2022,85.95,0.17%
1/31/2022,85.8,-0.07%
1/27/2022,85.86,0.00%
1/26/2022,85.86,0.00%
1/25/2022,85.86,0.07%
1/24/2022,85.8,-0.07%
1/20/2022,85.86,0.00%
1/19/2022,85.86,0.14%
1/18/2022,85.74,-0.24%
1/17/2022,85.95,0.16%
1/13/2022,85.81,-0.06%
1/12/2022,85.86,0.07%
1/11/2022,85.8,0.00%
1/10/2022,85.8,0.13%
1/7/2022,85.69,-0.20%
1/6/2022,85.86,0.34%
1/5/2022,85.57,-0.15%
1/4/2022,85.7,0.09%
1/3/2022,85.62,0.00%
